,link,City,District,Street,Meters,Floor,Rooms,Price
0,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-lopuszanska-67m2-mzn2044995967,Warszawa,Włochy,Łopuszańska,67.0,3/4,3,996000
1,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-komitetu-obrony-robotnikow-56m2-mzn2044050907,Warszawa,Okęcie,Komitetu Obrony Robotników,56.0,3/4,3,750000
2,/oferta/sprzedaz-mieszkanie-warszawa-ursus-ryzowa-43-78m2-mzn2045086088,Warszawa,Skorosze,Ryżowa,78.0,5/7,3,1049000
3,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-krotka-65m2-mzn2045163366,Warszawa,Włochy,Włochy,65.0,2/2,3,792187
4,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-powstancow-slaskich-71m2-mzn2044978199,Warszawa,Bemowo,Powstańców Śląskich,71.0,10/11,3,1180000
5,/oferta/sprzedaz-mieszkanie-warszawa-ursus-edwarda-habicha-46m2-mzn2044012930,Warszawa,Ursus,Edwarda Habicha,46.0,0/7,2,764999
6,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-gen-tadeusza-pelczynskiego-74m2-mzn2045201690,Warszawa,Bemowo,gen. Tadeusza Pełczyńskiego,74.0,3/5,3,1480000
7,/oferta/sprzedaz-mieszkanie-warszawa-ursus-warszawska-38m2-mzn2045269984,Warszawa,Ursus,Ursus,38.0,4/4,2,480000
8,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-gen-meriana-c-coopera-50m2-mzn2044976147,Warszawa,Bemowo,Bemowo,50.0,0/3,3,950000
9,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-gen-meriana-c-coopera-65m2-mzn2045153181,Warszawa,Bemowo,Bemowo,65.0,2/2,3,1092000
10,/oferta/sprzedaz-mieszkanie-warszawa-ursus-magnacka-38m2-mzn2045228166,Warszawa,Ursus,Ursus,38.0,0,2,691600
11,/oferta/sprzedaz-mieszkanie-warszawa-ursus-czerwona-droga-64m2-mzn2045239036,Warszawa,Ursus,Ursus,64.0,4/4,2,690000
12,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-franciszka-kawy-72m2-mzn2045136253,Warszawa,Lotnisko,Lotnisko,72.0,1/5,3,971600
